18.8,40.5
21.1,64.5
12.9,86.1
15.7,46.6
18.9,50.8
16.3,89.3
16.5,60.3
19.4,44.8
20.2,43
14.5,82.4
16.4,60.9
17.8,62.4
18.6,57
20.2,47.1
17.4,73.9
15.9,57
19.3,48.8
22.3,40.3
24.3,36.4
24,32
24.1,23.8
24.7,35
23.3,43
16.8,82.6
19.7,67.9
19.4,72
20.9,61.3
21.7,56.1
21.5,56.1
22.1,57.3
21.6,63.6
23.3,45.8
23.2,38.3
22.2,48.1
21.2,51.8
24.7,47.3
23.3,49.1
21.7,69.5
22.1,65.9
24.1,59.5
24.6,60.9
23.5,74.3
23.5,79.4
23.5,70.5
23.8,62.5
20.9,81.8
20.9,73.5
23.8,63.1
24.5,58
24.1,64.5
24.7,66
26,60.1
24.3,75.1
24.7,71
23.1,75.8
22.8,63.1
24.4,58.4
24.4,55.5
24.7,61.1
25.3,58
24.6,78.1
24,86.5
23.5,81.4
23.5,70.4
21.8,85.1
23.1,93.6
22.9,74
24,71.6
27.3,66.5
27.7,64.8
27.9,64.4
28.4,67.4
26.3,65.5
26.3,69
27.5,66.9
26.2,60
20.8,92.8
21.7,82.9
24.4,75.1
27.1,65.5
28.6,62.5
28.3,61.3
29.1,64
28.7,70.4
28,77.9
28.4,75.3
28.4,69
27.6,76.4
28,70.6
26.3,82.3
28.6,73.5
28.9,72.1
28.4,72
27.2,72.5
29.1,65.4
30.7,59.6
31.2,60.1
30.5,64.8
30.6,56
30.5,63.1
29.3,68.3
29.4,66.3
30.5,64.1
30.4,68.3
30.2,67.9
28.9,74
29.1,65.5
29.3,64.9
29.9,60.4
29.9,61.9
28.9,69.5
30.1,59
30.7,57.5
30.7,58
28.3,68.8
29.1,59.1
27.1,70.4
23,57
23.4,43.3
21,62.5
22.2,54.5
20.6,60.4
17.7,85.3
23.2,71.3
24.2,68.5
23.9,73.8
25.6,71.3
26.4,66.1
24.7,69
24.3,69.8
23,76.4
23.9,71.1
24.4,65.4
24.5,66.3
23.4,68.9
24.6,62.5
24.6,66.1
23.9,68.1
24.6,64.9
23.1,64.8
23.5,53.4
21.9,53.3
20.6,41.1
20.2,43.4
21.9,46.3
21.4,57.9
22.3,60.6
23,57.6
23.6,59.1
21,82.5
19.9,84.6
20.4,64.4
20.5,66.9
21.1,69
19,84.1
22.7,73.3
22,58.9
21.1,61.9
18,59.3
19.7,67.8
16.8,66.4
11.3,46.3
14,43.3
15.4,62.4
15.5,57
15.2,44.1
16.7,61.8
19.1,60.6
17.2,74.1
17.5,76.1
17,70.9
18,67.6
18.6,61.3
17.9,58.6
18.3,59
13.3,66.3
15.1,54.8
14.1,84
13.3,81
14.6,65.4
14.6,61.8
14.5,41.1
15.7,38.3
15.9,31.3
17.3,37.6
18.5,39.3
20.3,38.6
17,77
21.2,56.6
21,58.8
20.7,64.4
18.3,90.4
16.1,45.9
14.2,37.9
15.4,36.3
16.5,35.6
16.7,64.3
17.6,55
19.1,39.6
18.4,62.1
13.3,75.9
17.4,56.9
20.4,63.8
19.1,71
18,41.3
18.6,40.4
17.7,53.9
14.8,88.9
16.3,60
18.7,50.1
20,45.3
20.6,38.5
21,37.3
20.8,53.1
21.5,48.9
23.2,32.9
24.3,27.1
23.8,36.8
19.8,71
22.1,52.8
21.7,44.6
23.1,46.9
23.3,33.3
24.2,28.9
19.1,58.8
22.4,50.4
23.4,46.8
22.4,54.9
22.2,66.3
25.3,54.3
24.6,59.6
23.6,63.1
24.7,61.9
22.8,70.3
24.2,65.6
25,65.9
23.4,72.8
24.8,59.4
24.5,57.8
19.6,91
22.4,69.1
24,60.4
24.7,64.1
25.7,58.3
24.8,65.1
21,75.8
25.2,55.3
25.4,61.8
25.7,61.8
24.4,70
23.7,66.3
23.7,64.5
23.3,62.6
24.1,55.8
24.2,57.4
25.3,54.3
25.6,52.1
23.4,69.8
26.5,61.3
29.2,60.9
30.4,60.3
24.8,94.1
23.1,90.8
26.1,72.4
27.9,58.8
24.7,51.3
23.6,49.8
24.3,63.5
25.1,77.4
27.5,71.4
27,81.6
27.7,76.9
26.9,81
24.7,96.9
25,95.1
26,85.5
26.2,86
27.7,74.4
26.7,82.9
28.6,76.4
27.9,74.3
28.2,72.8
26.5,84.3
27.9,71.5
27.5,73.3
28.6,67
29.3,64.5
28.9,71.3
26.6,79.1
26.7,74.4
27,72.1
26.8,73.6
27.3,67.5
26.5,68.6
26.9,66.4
27.1,70.4
25.8,74.9
26.6,61.5
27.9,59.9
26.8,70.3
25.4,75.5
25.2,78.3
25.5,69.8
26.3,65.5
26.3,60.6
21.7,76.4
21.9,68.4
24.7,61.1
23.2,69.4
24.4,65.8
24.9,65.9
25.9,62.9
25.9,59.4
23.9,72.8
23.9,75.1
24.8,68.5
21.9,79.8
22.2,60.4
22.6,52.9
22.7,43.6
22.4,42.9
22.4,62.3
21,76.4
19.2,60.4
20.2,54.1
22.1,61.1
22.8,48.5
21.6,45.5
21.4,46.4
21.9,52.1
22.3,58.3
22.1,69
22.6,62.1
23.9,48.4
22,57.9
23.4,56.4
23.4,56.5
22.4,54.5
21.9,39.4
21.4,39.6
22.1,36.6
21.3,45.3
16.3,77.5
16.5,53.5
19.2,49.4
16.6,38.9
18,49.4
18.7,57.5
19.6,67.5
20.1,61.1
16.2,43.8
12.8,70.9
10.8,72.6
12.3,56.5
15,66.4
17.1,64.6
17.9,62.1
17.5,71
18.7,64.8
17.9,65.1
18.1,67.4
18.8,69.5
17.9,72.5
17.5,64.8
17.5,69.1
16.9,64.4
16.3,51
